Key,Institute_name,Branch,Sub_category,State_Quota,GE_CR,SC_CR,ST_CR,OBC_CR,year
4090,"Birla Institute of Technology, Mesra, Ranchi","Information Technology (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,16997,8280,14711,,2017
4091,"Birla Institute of Technology, Mesra, Ranchi","Information Technology (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,13770,5346,3583,,2017
4092,"Birla Institute of Technology, Mesra, Ranchi","Information Technology (4 Years, Bachelor of Technology)",TRUE,HOMESTATE,2278,,,,2017
4093,"Birla Institute of Technology, Mesra, Ranchi","Information Technology (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,2610,,,,2017
4094,"Birla Institute of Technology, Mesra, Ranchi","Mechanical Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,29086,8266,13493,,2017
4095,"Birla Institute of Technology, Mesra, Ranchi","Mechanical Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,23191,5172,4107,,2017
4096,"Birla Institute of Technology, Mesra, Ranchi","Production Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,41318,11899,34850,,2017
4097,"Birla Institute of Technology, Mesra, Ranchi","Production Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,33955,8388,6260,,2017
4098,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,67945,12483,,71712,2017
4099,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,33912,6321,2186,10312,2017
4100,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,1793,,,,2017
4101,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,50748,9913,,48529,2017
4102,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,27152,5205,2346,8270,2017
4103,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,33914,5540,26181,32599,2017
4104,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,23340,3090,1072,7443,2017
4105,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",TRUE,HOMESTATE,1289,,,,2017
4106,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,369,166,,,2017
4107,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,12195,2224,6105,9880,2017
4108,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,9881,2231,1019,3614,2017
4109,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",TRUE,HOMESTATE,,174,,,2017
4110,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,158,,,157,2017
4111,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,18763,5168,12775,17871,2017
4112,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,15964,3147,1907,5592,2017
4113,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,271,,,630,2017
4114,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,60076,12140,,82459,2017
